x,y,time,wildfires_sum
147000.0,468000.0,2018-07-11,2.0
149000.0,600000.0,2018-07-11,1.0
151000.0,386000.0,2018-07-11,1.0
151000.0,412000.0,2018-07-11,1.0
157000.0,374000.0,2018-07-11,1.0
159000.0,378000.0,2018-07-11,1.0
163000.0,392000.0,2018-07-11,1.0
163000.0,442000.0,2018-07-11,1.0
163000.0,468000.0,2018-07-11,1.0
165000.0,376000.0,2018-07-11,1.0
167000.0,364000.0,2018-07-11,1.0
167000.0,390000.0,2018-07-11,1.0
167000.0,442000.0,2018-07-11,1.0
169000.0,362000.0,2018-07-11,3.0
169000.0,418000.0,2018-07-11,1.0
171000.0,366000.0,2018-07-11,2.0
171000.0,368000.0,2018-07-11,2.0
171000.0,446000.0,2018-07-11,1.0
171000.0,460000.0,2018-07-11,1.0
173000.0,360000.0,2018-07-11,1.0
173000.0,364000.0,2018-07-11,1.0
173000.0,376000.0,2018-07-11,1.0
173000.0,450000.0,2018-07-11,1.0
175000.0,388000.0,2018-07-11,1.0
175000.0,406000.0,2018-07-11,1.0
175000.0,482000.0,2018-07-11,1.0
177000.0,382000.0,2018-07-11,1.0
177000.0,386000.0,2018-07-11,1.0
179000.0,362000.0,2018-07-11,1.0
179000.0,384000.0,2018-07-11,1.0
179000.0,458000.0,2018-07-11,1.0
179000.0,460000.0,2018-07-11,1.0
179000.0,478000.0,2018-07-11,2.0
179000.0,486000.0,2018-07-11,1.0
181000.0,406000.0,2018-07-11,1.0
181000.0,410000.0,2018-07-11,1.0
183000.0,358000.0,2018-07-11,1.0
183000.0,362000.0,2018-07-11,1.0
183000.0,378000.0,2018-07-11,1.0
185000.0,380000.0,2018-07-11,1.0
187000.0,382000.0,2018-07-11,1.0
189000.0,344000.0,2018-07-11,1.0
189000.0,384000.0,2018-07-11,1.0
189000.0,390000.0,2018-07-11,1.0
191000.0,406000.0,2018-07-11,1.0
193000.0,324000.0,2018-07-11,2.0
193000.0,464000.0,2018-07-11,1.0
193000.0,492000.0,2018-07-11,1.0
193000.0,502000.0,2018-07-11,1.0
195000.0,326000.0,2018-07-11,1.0
195000.0,374000.0,2018-07-11,1.0
195000.0,490000.0,2018-07-11,1.0
195000.0,496000.0,2018-07-11,1.0
195000.0,582000.0,2018-07-11,1.0
